,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Prices and Price Indices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Consumer Price Index (CPI)/ Inflation Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Consumer Price Index (CPI) By Household Income Group, Highest 20%, 2019 As Base Year, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 23/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Index
  Transport,127.4,108.6,98.8,100,98.9,99.2,96.3,99.2,101.9,103.5,101.1,94.2,83.3,74.6,77,74.3,72.5,74.7,77.5,79.3,81,82,87.2,86.3,84.4,98.4,91.9,92.8,93.4,79.7
    Private Transport,131.6,110.2,98.6,100,98.9,99.3,95.5,99,102.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Cars,142.6,115.3,100.7,100,98.3,101.8,101.1,106.6,110.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Petrol,129.7,109.3,92.8,100,99.9,93.7,85.9,89.3,93.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Public Transport,112.7,104.2,102,100,98.4,98.9,100,99.5,97.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Bus & Train Fares,109.3,107,107,100,95.8,97.9,102.1,103.1,100.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Point-To-Point Transport Services,117.9,103.5,99.1,100,100,100,100,99.7,99.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Transport Services,112,101.6,97.5,100,99.4,99,99,100.9,103.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Communication,98.8,99.9,100.6,100,101.1,102.1,101.6,101.9,101.4,101.5,103,103,104.8,107.2,107.1,107.1,106.5,107.8,109.5,109.8,108.3,108.7,111.6,116.6,119,126.3,130.9,132.1,138.7,139.9
    Postage & Courier Services,97.1,93,102.5,100,100,100,100,100,93.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Telecommunication Equipment,99,94.7,98.5,100,112.1,119.6,120.9,119.1,119,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Telecommunication Services,98.8,100.4,100.8,100,100.6,101.2,100.6,101,100.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Recreation & Culture,103.3,99,97.8,100,98.9,97.7,97.2,96.4,96.2,94.7,93.9,92.8,92.2,90.9,92.5,88.7,85.3,85.9,84.6,83.6,85,85.1,82.6,81.6,82.2,85.9,86.9,86,85.7,85.2
    Recreational & Cultural Goods,101.1,99,99.3,100,101.7,102.1,102.9,103.5,103.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Recreational & Cultural Services,105.3,101.3,99.9,100,98.7,97.5,96.7,95.9,95.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"    Newspapers, Books & Stationery",101.6,100.6,100.4,100,99.7,99.7,98.9,95.3,94.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Holiday Expenses,103.3,98.1,96.5,100,98.1,96.2,95.6,94.5,94.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Education,105,102.9,101.6,100,97.7,95,92.1,89.4,86.2,83.3,80,76.8,74.2,71.8,71,67.7,65.9,64.1,61.8,58.8,56.3,54.9,52.7,51.3,49.4,46.8,45.2,43,41.5,40.3
    Tuition & Other Fees,105,102.9,101.6,100,97.6,94.9,92.1,89.3,86.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Textbooks & Guides,100.6,100.1,100.2,100,100.6,100.6,100,99,98.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Miscellaneous Goods & Services,98.6,98.3,98.8,100,99.8,99.6,99.1,98.7,99.1,98.6,95.5,93.9,92.8,92.2,92,90.2,88.2,86.3,85,82.8,81.3,82,81.3,80.9,80.1,79.4,79,78.5,77.9,76.3
    Personal Care,100.3,98.7,99.9,100,99.4,99.6,100.3,100.2,100.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Alcoholic Drinks & Tobacco,99,98.2,98.1,100,100.2,97.6,97.4,97.6,97.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Personal Effects,96.4,96.4,95.6,100,100.4,100.8,98.6,96.9,98.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Social Services,101.7,100.7,101.8,100,99.8,98.3,96.4,94.1,91.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Miscellaneous Services,94.7,99.2,100,100,100,100,96.6,96.7,96.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All Items Less Imputed Rentals On Owner-Occupied Accommodation,110.3,102.8,99.7,100,99,97.9,96.2,96.1,96.2,95.2,93.2,89.8,85.4,82.3,82.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All Items Less Accommodation,110.7,102.9,99.7,100,98.9,97.8,95.9,95.7,95.8,94.9,92.9,89.5,85.1,81.8,82.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The weighting pattern for the 2019-based CPI was derived from expenditure values collected in the Household Expenditure Survey (HES) conducted between October 2017 and September 2018.  These expenditure values were updated to 2019 values by taking into account price changes between 2017/18 and 2019.  Household income group is based on ranking of resident households by their monthly household income from all sources (including imputed rental on owner-occupied accommodation).  For more information on the CPI rebasing, refer to the Information Paper 'Rebasing of the Consumer Price Index (2019 as Base Year)' (https://www.singstat.gov.sg/-/media/files/publications/economy/ip-e48.pdf).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Items -> Transport -> Public Transport -> Point-To-Point Transport Services (Index):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 2019, data pertain to taxi services only.  From 2019 onwards, data pertain to taxi and private hire car services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Items -> Recreation & Culture -> Holiday Expenses (Index):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"These services were either fully or partially unavailable in April 2020 - December 2022 due to international and safe-distancing measures to contain the COVID-19 pandemic. Price changes of unavailable services were imputed, in line with international guidelines. As the services resumed progressively or when restrictions were lifted, actual prices are incorporated into the CPI.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Items Less Imputed Rentals On Owner-Occupied Accommodation (Index):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Accommodation, one of the groups in the Housing & Utilities expenditure division of the CPI, comprises 'rented and owner-occupied accommodation', as well as 'housing maintenance & repairs'.  A significant share of the Accommodation group is 'owner-occupied accommodation (OOA)' cost, which is meant to reflect the costs to homeowners of utilising the flow of services provided by their homes over an extended period of time.  As the cost of using housing services is not directly observed for homeowners, it is computed based on the imputed rental concept under the rental equivalence method, i.e. proxied by market rentals.  Changes in the CPI imputed rentals on OOA, however, have no direct impact on the monthly cash expenditure of most households in Singapore as they already own their homes.  Hence, the CPI less imputed rentals on OOA is compiled as an additional indicator to track households' actual expenditures.  Actual rentals paid on rented homes are still included in this measure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 As Base Year:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The base year is the period with which all the other periods are compared. The base year for the current Consumer Price Index (CPI) is 2019.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Items:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This contains all the CPI expenditure divisions, groups and classes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Price Index:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Consumer Price Index (CPI) is designed to measure the average price changes in a fixed basket of consumption goods and services commonly purchased by the resident households over time. It is widely used as a measure of the consumer price inflation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Income Group:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household income group categorises resident households by their monthly household income from all sources (including imputed rentals on owner-occupied accommodation).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 20/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
