,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Prices and Price Indices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Consumer Price Index (CPI)/ Inflation Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Consumer Price Index (CPI) By Household Income Group, Lowest 20%, 2019 As Base Year, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 23/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Index
  Food Serving Services,108.6,102.8,101.3,100,98.4,96.8,95.2,93.6,91.8,89,87.3,85.6,83.3,82.8,80.7,75.9,74.5,73.5,73.1,72.5,72.3,71.6,70.8,70.4,70,69.3,68.2,66.5,64.6,62.1
    Restaurant Food,108.1,102.8,101.4,100,98.6,96.5,94.8,92.8,90.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Fast Food,107.4,103.2,101.4,100,98.5,98.1,97.1,95,93.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Hawker Food,108.8,102.8,101.3,100,98.4,96.9,95.2,93.6,91.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Hawker Centres,109.1,103,101.6,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Food Courts & Coffee Shops,108.7,102.8,101.2,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Catered Food,107.1,102.6,101.7,100,95.1,93.9,92.1,91.6,91.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Clothing & Footwear,93.5,91.4,96.5,100,100.4,99.2,98.4,98,97.7,98.8,98.5,97.3,97.2,96.7,95.6,93.8,92.6,91.7,92.1,92.1,91.5,90.9,90.5,91.4,93.2,93.8,92.9,92.5,91.4,89.5
    Clothing,93.6,91.5,96.6,100,100.9,100.2,100,98.6,98.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Articles & Related Services,99.9,96.2,99.2,100,99.7,98,96.7,97.6,95.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Footwear,91.1,89.4,95.4,100,99.1,96.2,93.5,96.5,95,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Housing & Utilities,106.7,101.2,99.4,100,101.1,102.7,105.4,109.8,113.6,112.9,108.9,98.3,89.3,85.8,82.5,71.7,72,69.3,68.1,67.8,67.5,68.8,67.6,65,64.8,63.2,62.1,61.7,61.1,60.6
    Accommodation,106.5,102,100.2,100,101.1,104.8,109.5,113.5,116.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Utilities & Other Fuels,108.1,96,94.7,100,100.7,91.4,84.1,90.8,99.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Water Supply,100,100,100,100,93.6,81.5,75.7,75.7,75.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Electricity,111.1,91.4,90.6,100,105.9,95.9,87.8,100.9,118.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Gas,111.1,103,95,100,100,95.4,88.5,92,103,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Household Durables & Services,103.7,101.6,100.3,100,99.6,99,98.2,96.6,97.2,96,92.3,90.3,85.5,84.5,83.4,81.4,81.3,81.9,84.2,83.7,84.2,85,85.5,86.4,87.2,87.5,88,88.2,86.1,85.6
    Household Durables,104.6,101.4,99.9,100,100.8,101.4,102.6,102.6,101.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Household Services & Supplies,103.2,101.7,100.5,100,98.9,97.6,95.6,93.1,94.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Health Care,99.7,98.7,97.8,100,98.7,96.4,93.4,94,97.1,94.3,90.8,86.6,84.7,82.9,81.3,77.4,74.4,74,73.7,69.4,68,65.8,64,63.3,63.1,60.3,58.1,56.9,56.1,54.5
    Medicines & Health Products,101.1,99.6,99.4,100,100.4,100.2,100.3,100.1,99.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Outpatient Services,94.3,93.8,94.6,100,98.8,97.1,95,92.4,105.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Hospital Services,104.3,103.1,100.9,100,97.8,93.9,88.9,92.4,90.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Health Insurance,106.5,105.2,100,100,99.9,99.5,97.9,97.4,97.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Transport,121.1,106.5,100,100,99.3,99.8,98.8,100.1,99.4,98.7,96.7,91.9,85.9,81.6,84.1,80.4,78.3,77.8,78.4,77.3,76.7,76.6,75.8,73.1,73.6,71.7,68.8,67.6,66.4,65.3
    Private Transport,127.9,108.3,98.3,100,101.8,101.7,96.8,98.7,98.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Cars,143.3,115.2,101.8,100,103.9,113.6,116,121.8,118.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Petrol,129.6,108.7,92.4,100,100,93.7,85.8,89.4,94,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Public Transport,111.1,105.2,104,100,96.8,98.3,101.5,102,99.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Bus & Train Fares,109.3,107,107,100,95.8,97.9,102.1,103,100.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Point-To-Point Transport Services,117.2,103.3,99.2,100,100,100,100,99.7,99.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Transport Services,114.6,100.2,96.6,100,98.6,96.3,95.7,97.8,101,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Communication,99.5,100.7,100.9,100,100.1,101.1,100.6,101.1,100.9,101.2,102.2,102.3,103.2,104.9,103.6,103.1,102.2,102.8,103.5,103.3,102,102.3,104.1,106.1,107.4,108.4,109.4,109.8,110.1,109.1
    Postage & Courier Services,97.1,93,102.5,100,100,100,100,100,95.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Telecommunication Equipment,97.9,93.3,98,100,110.9,117.6,118.7,117.3,117,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Telecommunication Services,99.5,100.9,101,100,99.9,100.7,100.2,100.7,100.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Recreation & Culture,103.7,99.3,98.7,100,99.2,98.1,98,96.6,96.1,94.4,93,92.3,105.3,104.9,105.5,102.6,100.3,100.5,100.4,98.4,99.7,99.8,98.5,98.3,99.6,102.5,103.2,101.6,98.6,95.9
    Recreational & Cultural Goods,100.6,98.7,99.2,100,102.5,102.2,103.7,103.9,104.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Recreational & Cultural Services,104.7,100.6,100,100,99.2,98.2,98,97.5,96.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"    Newspapers, Books & Stationery",101.1,100.6,100.4,100,99.9,99.9,98.1,89.6,89.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Holiday Expenses,104.6,98.5,97.5,100,97.9,96,96.2,95.3,95.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Education,102.6,100.1,99,100,98.1,95.2,92.3,90.2,88.8,86.4,82.7,80.4,77.5,75.3,75.1,72,70,68.1,65.9,63.5,61.5,60.1,57.9,56.4,53.1,50.8,50,48,45.9,43.8
    Tuition & Other Fees,102.7,100.1,98.9,100,98.1,95.1,92.2,90,88.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Textbooks & Guides,101,100.4,100.5,100,100,100,100,100,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Miscellaneous Goods & Services,99.2,98.6,99.6,100,99.4,96.9,97.1,96.9,96.7,94.2,93.5,93.1,92.1,91.6,91,89.3,87.4,84.9,78.7,71.6,66.1,66.1,62.5,60.6,59.6,57.7,56.3,54.8,53.5,51.4
    Personal Care,100.5,98.6,100.2,100,99.2,99.4,100.9,101,101.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Alcoholic Drinks & Tobacco,100.8,99.5,99.5,100,99.3,93.6,93.2,93,91.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Personal Effects,96.6,96.4,95.8,100,100.8,101.4,98.5,97.5,98.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Social Services,87,91.8,97.6,100,99.9,98.5,95.1,91.7,91.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Miscellaneous Services,93.1,98.3,100,100,100,100.2,99.3,99.6,99.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All Items Less Imputed Rentals On Owner-Occupied Accommodation,106.4,101.3,99.7,100,99.1,97.4,95.7,95.5,95.8,94.1,93,89.9,87.9,85.6,85.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All Items Less Accommodation,106.8,101.4,99.8,100,99.1,97.2,95.4,95.1,95.5,93.8,92.3,89.9,88,86.1,86.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The weighting pattern for the 2019-based CPI was derived from expenditure values collected in the Household Expenditure Survey (HES) conducted between October 2017 and September 2018.  These expenditure values were updated to 2019 values by taking into account price changes between 2017/18 and 2019.  Household income group is based on ranking of resident households by their monthly household income from all sources (including imputed rental on owner-occupied accommodation).  For more information on the CPI rebasing, refer to the Information Paper 'Rebasing of the Consumer Price Index (2019 as Base Year)' (https://www.singstat.gov.sg/-/media/files/publications/economy/ip-e48.pdf).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Items -> Transport -> Public Transport -> Point-To-Point Transport Services (Index):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 2019, data pertain to taxi services only.  From 2019 onwards, data pertain to taxi and private hire car services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Items -> Recreation & Culture -> Holiday Expenses (Index):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"These services were either fully or partially unavailable in April 2020 - December 2022 due to international and safe-distancing measures to contain the COVID-19 pandemic. Price changes of unavailable services were imputed, in line with international guidelines. As the services resumed progressively or when restrictions were lifted, actual prices are incorporated into the CPI.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Items Less Imputed Rentals On Owner-Occupied Accommodation (Index):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Accommodation, one of the groups in the Housing & Utilities expenditure division of the CPI, comprises 'rented and owner-occupied accommodation', as well as 'housing maintenance & repairs'.  A significant share of the Accommodation group is 'owner-occupied accommodation (OOA)' cost, which is meant to reflect the costs to homeowners of utilising the flow of services provided by their homes over an extended period of time.  As the cost of using housing services is not directly observed for homeowners, it is computed based on the imputed rental concept under the rental equivalence method, i.e. proxied by market rentals.  Changes in the CPI imputed rentals on OOA, however, have no direct impact on the monthly cash expenditure of most households in Singapore as they already own their homes.  Hence, the CPI less imputed rentals on OOA is compiled as an additional indicator to track households' actual expenditures.  Actual rentals paid on rented homes are still included in this measure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 As Base Year:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The base year is the period with which all the other periods are compared. The base year for the current Consumer Price Index (CPI) is 2019.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Items:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This contains all the CPI expenditure divisions, groups and classes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Price Index:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Consumer Price Index (CPI) is designed to measure the average price changes in a fixed basket of consumption goods and services commonly purchased by the resident households over time. It is widely used as a measure of the consumer price inflation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Income Group:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household income group categorises resident households by their monthly household income from all sources (including imputed rentals on owner-occupied accommodation).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 20/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
